,Date,Time,Venue,Season,Home Team,Home Score,-,Away Score,Away Team
302,03.02.19,12:20,Maidstone Girls Grammar School,2018/19,Kingfisher 1,22.0,-,22.0,Cambridge Tigers 1
303,03.02.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,30.0,-,8.0,Bristol Thunder 1
304,10.02.19,12:15,Epsom College,2018/19,Nomads 1,20.0,-,33.0,Norwich Knights 1
305,10.02.19,12:20,Maidstone Girls Grammar School,2018/19,Kingfisher 1,20.0,-,25.0,Trojans 1
306,10.02.19,13:30,Whitgift School,2018/19,Bec 1,25.0,-,8.0,Birmingham City 1
307,10.02.19,14:30,City of Bristol Academy,2018/19,Bristol Thunder 1,17.0,-,36.0,Tornadoes 1
308,17.02.19,09:20,Kings Sports Centre,2018/19,KV 1,20.0,-,17.0,Kingfisher 1
309,17.02.19,12:30,New Line Learning Academy,2018/19,Tornadoes 1,24.0,-,24.0,Trojans 1
310,17.02.19,12:30,Woodcock Sports Centre,2018/19,Birmingham City 1,10.0,-,15.0,Cambridge Tigers 1
311,17.02.19,14:15,Glyn School,2018/19,Nomads 1,28.0,-,16.0,Bristol Thunder 1
312,24.02.19,12:30,New Line Learning Academy,2018/19,Tornadoes 1,31.0,-,21.0,Kingfisher 1
313,24.02.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,31.0,-,14.0,Nomads 1
314,24.02.19,13:20,University of East Anglia Sportspark,2018/19,Norwich Knights 1,26.0,-,18.0,Cambridge Tigers 1
315,24.02.19,13:30,Whitgift School,2018/19,Bec 1,24.0,-,6.0,Bristol Thunder 1
316,24.02.19,13:30,Woodcock Sports Centre,2018/19,Birmingham City 1,19.0,-,26.0,KV 1
317,02.03.19,17:00,University of East Anglia Sportspark,2018/19,Norwich Knights 1,24.0,-,25.0,Trojans 1
318,03.03.19,11:30,Whitgift School,2018/19,Bec 1,24.0,-,21.0,Tornadoes 1
319,10.03.19,12:15,Woodcock Sports Centre,2018/19,Birmingham City 1,17.0,-,35.0,Tornadoes 1
320,10.03.19,12:20,Maidstone Girls Grammar School,2018/19,Kingfisher 1,22.0,-,22.0,Bristol Thunder 1
321,10.03.19,12:45,The Perse School for Boys,2018/19,Cambridge Tigers 1,19.0,-,32.0,Bec 1
322,10.03.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,27.0,-,18.0,Norwich Knights 1
323,10.03.19,13:00,Aylesford School Sports College,2018/19,KV 1,25.0,-,27.0,Nomads 1
324,16.03.19,15:30,Bristol Grammar School Sports Centre,2018/19,Bristol Thunder 1,8.0,-,38.0,Norwich Knights 1
325,17.03.19,10:30,Aylesford School Sports College,2018/19,Tornadoes 1,33.0,-,18.0,KV 1
326,17.03.19,11:30,Whitgift School,2018/19,Bec 1,30.0,-,19.0,Kingfisher 1
327,17.03.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,40.0,-,10.0,Birmingham City 1
328,17.03.19,14:15,EFFINGHAM COMMUNITY SPORTS CENTRE,2018/19,Nomads 1,32.0,-,24.0,Cambridge Tigers 1
329,24.03.19,11:30,Aylesford School Sports College,2018/19,Tornadoes 1,21.0,-,31.0,Bec 1
330,24.03.19,12:20,Maidstone Girls Grammar School,2018/19,Kingfisher 1,33.0,-,20.0,Nomads 1
331,24.03.19,13:00,University of East Anglia Sportspark,2018/19,Norwich Knights 1,24.0,-,7.0,Birmingham City 1
332,24.03.19,13:15,The Perse School for Boys,2018/19,Cambridge Tigers 1,18.0,-,33.0,Trojans 1
333,24.03.19,13:20,Kings Sports Centre,2018/19,KV 1,21.0,-,20.0,Bristol Thunder 1
334,30.03.19,19:00,Epsom College,2018/19,Nomads 1,25.0,-,30.0,Kingfisher 1
335,06.04.19,14:30,Bristol Grammar School Sports Centre,2018/19,Bristol Thunder 1,24.0,-,13.0,Birmingham City 1
336,07.04.19,11:30,Whitgift School,2018/19,Bec 1,24.0,-,21.0,Nomads 1
337,07.04.19,11:40,University of East Anglia Sportspark,2018/19,Norwich Knights 1,25.0,-,21.0,Kingfisher 1
338,07.04.19,12:45,The Perse School for Boys,2018/19,Cambridge Tigers 1,14.0,-,38.0,Tornadoes 1
339,07.04.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,32.0,-,12.0,KV 1
340,13.04.19,14:30,Bristol Grammar School Sports Centre,2018/19,Bristol Thunder 1,22.0,-,30.0,Cambridge Tigers 1
341,14.04.19,12:45,Trinity School Sports Centre,2018/19,Trojans 1,26.0,-,25.0,Bec 1
342,14.04.19,13:20,Kings Sports Centre,2018/19,KV 1,22.0,-,22.0,Norwich Knights 1
343,14.04.19,13:30,Woodcock Sports Centre,2018/19,Birmingham City 1,14.0,-,23.0,Kingfisher 1
344,14.04.19,13:30,Epsom College,2018/19,Nomads 1,29.0,-,35.0,Tornadoes 1
345,27.04.19,18:15,University of East Anglia Sportspark,2018/19,Norwich Knights 1,16.0,-,20.0,Bec 1
346,28.04.19,11:30,Trinity School Sports Centre,2018/19,Trojans 1,31.0,-,11.0,Kingfisher 1
347,28.04.19,12:45,The Perse School for Boys,2018/19,Cambridge Tigers 1,29.0,-,25.0,KV 1
348,27.10.19,11:30,University of East Anglia Sportspark,2019/20,Norwich Knights 1,20.0,-,13.0,KV 1
349,27.10.19,11:30,Whitgift School,2019/20,Bec 1,24.0,-,17.0,Trojans 1
350,27.10.19,11:30,Maidstone Girls Grammar School,2019/20,Kingfisher 1,23.0,-,18.0,Highbury 1
351,27.10.19,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,19.0,-,13.0,Bristol Thunder 1
352,27.10.19,15:00,Maidstone Girls Grammar School,2019/20,Tornadoes 1,31.0,-,12.0,Nomads 1
353,03.11.19,12:20,Kings Sports Centre,2019/20,KV 1,20.0,-,18.0,Cambridge Tigers 1
354,03.11.19,12:45,Trinity School Sports Centre,2019/20,Trojans 1,29.0,-,23.0,Kingfisher 1
355,03.11.19,13:00,Aylesford School Sports College,2019/20,Tornadoes 1,32.0,-,19.0,Bristol Thunder 1
356,03.11.19,13:30,Whitgift School,2019/20,Bec 1,34.0,-,11.0,Highbury 1
357,10.11.19,11:30,Kings Sports Centre,2019/20,KV 1,19.0,-,17.0,Nomads 1
358,10.11.19,12:45,Trinity School Sports Centre,2019/20,Trojans 1,31.0,-,17.0,Norwich Knights 1
359,16.11.19,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,28.0,-,19.0,Kingfisher 1
360,17.11.19,11:30,Maidstone Girls Grammar School,2019/20,Tornadoes 1,35.0,-,9.0,Highbury 1
361,17.11.19,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,19.0,-,29.0,Bec 1
362,24.11.19,10:30,Maidstone Girls Grammar School,2019/20,Tornadoes 1,23.0,-,13.0,KV 1
363,24.11.19,12:00,Daynes Sports Centre,2019/20,Norwich Knights 1,33.0,-,18.0,Bristol Thunder 1
364,24.11.19,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,21.0,-,18.0,Nomads 1
365,24.11.19,12:45,Trinity School Sports Centre,2019/20,Trojans 1,35.0,-,12.0,Highbury 1
366,24.11.19,13:30,Whitgift School,2019/20,Bec 1,24.0,-,12.0,Kingfisher 1
367,30.11.19,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,14.0,-,37.0,Bec 1
368,01.12.19,10:30,New Line Learning Academy,2019/20,Tornadoes 1,38.0,-,6.0,Kingfisher 1
369,01.12.19,10:30,Epsom College,2019/20,Nomads 1,14.0,-,29.0,Trojans 1
370,01.12.19,10:35,Kings Sports Centre,2019/20,KV 1,23.0,-,15.0,Highbury 1
371,01.12.19,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,20.0,-,40.0,Norwich Knights 1
372,08.12.19,10:30,Epsom College,2019/20,Nomads 1,12.0,-,28.0,Bec 1
373,08.12.19,10:35,Kings Sports Centre,2019/20,KV 1,15.0,-,27.0,Trojans 1
374,08.12.19,11:20,New Line Learning Academy,2019/20,Tornadoes 1,28.0,-,21.0,Cambridge Tigers 1
375,08.12.19,13:20,Maidstone Girls Grammar School,2019/20,Kingfisher 1,10.0,-,22.0,Norwich Knights 1
376,08.12.19,13:30,Ernest Bevin College,2019/20,Highbury 1,15.0,-,28.0,Bristol Thunder 1
377,14.12.19,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,23.0,-,29.0,Nomads 1
378,15.12.19,11:20,Maidstone Girls Grammar School,2019/20,Kingfisher 1,19.0,-,19.0,KV 1
379,15.12.19,11:30,Whitgift School,2019/20,Bec 1,29.0,-,16.0,Norwich Knights 1
380,15.12.19,12:45,Trinity School Sports Centre,2019/20,Trojans 1,26.0,-,24.0,Tornadoes 1
381,15.12.19,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,21.0,-,13.0,Highbury 1
382,05.01.20,12:00,UEA Sportspark,2019/20,Norwich Knights 1,19.0,-,10.0,Nomads 1
383,05.01.20,12:45,Trinity School Sports Centre,2019/20,Trojans 1,32.0,-,15.0,Bristol Thunder 1
384,11.01.20,15:00,UEA Sportspark,2019/20,Norwich Knights 1,19.0,-,28.0,Tornadoes 1
385,12.01.20,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,27.0,-,23.0,Kingfisher 1
386,12.01.20,13:30,Ernest Bevin College,2019/20,Bec 1,32.0,-,16.0,KV 1
387,26.01.20,10:30,Epsom College,2019/20,Nomads 1,16.0,-,26.0,Kingfisher 1
388,26.01.20,11:45,Trinity School Sports Centre,2019/20,Trojans 1,34.0,-,18.0,Cambridge Tigers 1
389,26.01.20,13:30,City of Bristol Academy,2019/20,Bristol Thunder 1,19.0,-,11.0,KV 1
390,26.01.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,15.0,-,24.0,Norwich Knights 1
391,01.02.20,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,13.0,-,36.0,Trojans 1
392,02.02.20,10:30,Epsom College,2019/20,Nomads 1,18.0,-,17.0,Highbury 1
393,02.02.20,12:00,New Line Learning Academy,2019/20,Tornadoes 1,36.0,-,22.0,Norwich Knights 1
394,02.02.20,13:00,Maidstone Girls Grammar School,2019/20,Kingfisher 1,27.0,-,23.0,Cambridge Tigers 1
395,04.02.20,20:30,Kings Sports Centre,2019/20,KV 1,19.0,-,33.0,Bec 1
396,08.02.20,15:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,12.0,-,32.0,Tornadoes 1
397,09.02.20,12:00,Maidstone Girls Grammar School,2019/20,Kingfisher 1,16.0,-,38.0,Trojans 1
398,09.02.20,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,24.0,-,23.0,KV 1
399,09.02.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,7.0,-,27.0,Bec 1
400,15.02.20,14:00,Epsom College,2019/20,Nomads 1,23.0,-,40.0,Tornadoes 1
401,16.02.20,11:00,Maidstone Girls Grammar School,2019/20,Kingfisher 1,16.0,-,33.0,Tornadoes 1
402,16.02.20,11:30,UEA Sportspark,2019/20,Norwich Knights 1,38.0,-,24.0,Cambridge Tigers 1
403,16.02.20,14:45,Trinity School Sports Centre,2019/20,Trojans 1,26.0,-,17.0,Nomads 1
404,16.02.20,14:45,Ernest Bevin College,2019/20,Bec 1,33.0,-,17.0,Bristol Thunder 1
405,16.02.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,17.0,-,22.0,KV 1
406,23.02.20,10:35,Kings Sports Centre,2019/20,KV 1,16.0,-,9.0,Kingfisher 1
407,23.02.20,12:30,New Line Learning Academy,2019/20,Tornadoes 1,25.0,-,25.0,Trojans 1
408,23.02.20,12:50,UEA Sportspark,2019/20,Norwich Knights 1,23.0,-,25.0,Bec 1
409,23.02.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,27.0,-,34.0,Cambridge Tigers 1
410,23.02.20,15:30,Epsom College,2019/20,Nomads 1,22.0,-,22.0,Bristol Thunder 1
411,01.03.20,10:30,Ernest Bevin College,2019/20,Bec 1,38.0,-,14.0,Cambridge Tigers 1
412,01.03.20,13:00,Maidstone Girls Grammar School,2019/20,Kingfisher 1,27.0,-,24.0,Bristol Thunder 1
413,01.03.20,13:45,Epsom College,2019/20,Nomads 1,13.0,-,15.0,KV 1
414,01.03.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,15.0,-,37.0,Tornadoes 1
415,07.03.20,12:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,23.0,-,27.0,Cambridge Tigers 1
416,07.03.20,13:45,Trinity School Sports Centre,2019/20,Nomads 1,26.0,-,31.0,Norwich Knights 1
417,08.03.20,12:30,Maidstone Girls Grammar School,2019/20,KV 1,20.0,-,24.0,Norwich Knights 1
418,08.03.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,13.0,-,22.0,Nomads 1
419,13.03.20,20:15,Trinity School Sports Centre,2019/20,Trojans 1,,-,,Bec 1
420,14.03.20,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,,-,,Norwich Knights 1
421,15.03.20,10:35,Kings Sports Centre,2019/20,KV 1,,-,,Tornadoes 1
422,15.03.20,11:30,Maidstone Girls Grammar School,2019/20,Kingfisher 1,,-,,Bec 1
423,15.03.20,13:30,Epsom College,2019/20,Nomads 1,,-,,Cambridge Tigers 1
424,15.03.20,15:30,Moberley Sports Centre,2019/20,Highbury 1,,-,,Trojans 1
425,21.03.20,18:00,UEA Sportspark,2019/20,Norwich Knights 1,,-,,Trojans 1
426,22.03.20,11:30,New Line Learning Academy,2019/20,Tornadoes 1,,-,,Bec 1
427,22.03.20,12:00,Maidstone Girls Grammar School,2019/20,Kingfisher 1,,-,,Nomads 1
428,22.03.20,12:30,Kings Sports Centre,2019/20,KV 1,,-,,Bristol Thunder 1
429,22.03.20,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,,-,,Trojans 1
430,28.03.20,14:30,Bristol Grammar School Sports Centre,2019/20,Bristol Thunder 1,,-,,Highbury 1
431,29.03.20,10:30,Whitgift School,2019/20,Bec 1,,-,,Nomads 1
432,29.03.20,12:00,UEA Sportspark,2019/20,Norwich Knights 1,,-,,Kingfisher 1
433,29.03.20,12:45,The Perse School for Boys,2019/20,Cambridge Tigers 1,,-,,Tornadoes 1
434,04.04.20,14:30,Royal Russell,2019/20,Highbury 1,,-,,Kingfisher 1
435,05.04.20,11:30,Whitgift School,2019/20,Bec 1,,-,,Tornadoes 1
436,05.04.20,13:00,UEA Sportspark,2019/20,Norwich Knights 1,,-,,Highbury 1
437,05.04.20,14:45,Trinity School Sports Centre,2019/20,Trojans 1,,-,,KV 1
